"dkid","EmriKandidatit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"","albini2017","2017-06-01","11148","11488","153","499","8"
"","avdullah.hoti","2017-06-01","10340","10686","1540","354","10"
"","behgjeti","2017-06-01","9175","9333","763","100","10"
"","fatmirlimaj","2017-06-01","1947","1994","253","132","8"
"","HashimThaciOfficial","2017-06-01","3829","3853","79","62","3"
"","IsaMustafaKS","2017-06-01","942","944","8","6","2"
"","kadriveseliofficial","2017-06-01","17638","17881","1147","216","8"
"","mimozakusari","2017-06-01","1250","1256","22","4","8"
"","RamushHaradinajOfficial","2017-06-01","6394","6568","1005","314","12"
"","albini2017","2017-05-31","24976","25496","552","800","8"
"","avdullah.hoti","2017-05-31","28749","29151","2122","1204","18"
"","behgjeti","2017-05-31","23139","23579","1602","278","12"
"","fatmirlimaj","2017-05-31","2961","3043","452","244","4"
"","HashimThaciOfficial","2017-05-31","1288","1298","35","11","1"
"","IsaMustafaKS","2017-05-31","6108","6146","78","116","10"
"","kadriveseliofficial","2017-05-31","28397","28915","1644","1349","10"
"","mimozakusari","2017-05-31","5006","5044","156","60","10"
"","RamushHaradinajOfficial","2017-05-31","31936","32946","3074","3197","12"
"","albini2017","2017-05-30","42890","43800","874","2088","14"
"","avdullah.hoti","2017-05-30","15827","16025","1396","346","14"
"","behgjeti","2017-05-30","17696","17856","334","146","14"
"","fatmirlimaj","2017-05-30","1438","1496","394","104","4"
"","kadriveseliofficial","2017-05-30","36361","36701","1296","758","10"
"","mimozakusari","2017-05-30","2534","2548","60","26","6"
"","RamushHaradinajOfficial","2017-05-30","37953","38887","3210","3452","12"
"","IsaMustafaKS","2017-05-30","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-30","0","0","0","0","0"
"","albini2017","2017-05-29","26334","26876","1114","1980","8"
"","avdullah.hoti","2017-05-29","28082","28610","3248","814","26"
"","behgjeti","2017-05-29","12357","12447","354","172","10"
"","fatmirlimaj","2017-05-29","5766","5986","828","272","10"
"","kadriveseliofficial","2017-05-29","35648","36733","6605","1048","12"
"","mimozakusari","2017-05-29","4678","4714","60","12","14"
"","RamushHaradinajOfficial","2017-05-29","9266","9658","2010","644","10"
"","IsaMustafaKS","2017-05-29","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-29","0","0","0","0","0"
"","albini2017","2017-05-28","27599","28249","658","1466","8"
"","avdullah.hoti","2017-05-28","25649","26151","3276","984","16"
"","behgjeti","2017-05-28","71741","72457","4494","240","14"
"","fatmirlimaj","2017-05-28","2624","2686","618","150","8"
"","kadriveseliofficial","2017-05-28","32046","32548","3716","669","10"
"","mimozakusari","2017-05-28","198","202","4","2","2"
"","RamushHaradinajOfficial","2017-05-28","10064","10458","2148","318","6"
"","IsaMustafaKS","2017-05-28","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-28","0","0","0","0","0"
"","albini2017","2017-05-27","40134","41080","840","1726","10"
"","avdullah.hoti","2017-05-27","39034","39838","4666","1154","24"
"","behgjeti","2017-05-27","16580","16728","304","222","12"
"","fatmirlimaj","2017-05-27","5636","5724","494","160","10"
"","IsaMustafaKS","2017-05-27","1094","1110","36","14","2"
"","kadriveseliofficial","2017-05-27","35634","36314","3874","978","10"
"","mimozakusari","2017-05-27","2070","2080","42","2","6"
"","RamushHaradinajOfficial","2017-05-27","18610","19176","2802","506","8"
"","HashimThaciOfficial","2017-05-27","0","0","0","0","0"
"","albini2017","2017-05-26","36626","39306","9400","2568","10"
"","avdullah.hoti","2017-05-26","26788","26890","308","314","16"
"","behgjeti","2017-05-26","18060","18192","306","500","12"
"","fatmirlimaj","2017-05-26","2296","2434","1316","172","6"
"","HashimThaciOfficial","2017-05-26","10132","10194","226","109","4"
"","IsaMustafaKS","2017-05-26","5154","5208","274","52","6"
"","kadriveseliofficial","2017-05-26","47078","47890","5528","1003","16"
"","mimozakusari","2017-05-26","2644","2664","22","18","8"
"","RamushHaradinajOfficial","2017-05-26","13430","13880","3422","398","10"
"","albini2017","2017-05-25","18592","18968","462","1044","10"
"","avdullah.hoti","2017-05-25","24606","24730","448","373","14"
"","behgjeti","2017-05-25","17484","17676","922","556","12"
"","fatmirlimaj","2017-05-25","9258","9368","598","134","6"
"","kadriveseliofficial","2017-05-25","26528","26962","2950","582","10"
"","mimozakusari","2017-05-25","1610","1620","24","6","8"
"","RamushHaradinajOfficial","2017-05-25","13004","13540","2792","480","8"
"","IsaMustafaKS","2017-05-25","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-25","0","0","0","0","0"
"","albini2017","2017-05-24","26302","26720","620","1318","8"
"","avdullah.hoti","2017-05-24","13068","13100","194","322","10"
"","behgjeti","2017-05-24","3504","3534","70","111","2"
"","fatmirlimaj","2017-05-24","1418","1518","498","120","4"
"","IsaMustafaKS","2017-05-24","6686","6814","548","154","6"
"","kadriveseliofficial","2017-05-24","21820","22266","4464","328","10"
"","mimozakusari","2017-05-24","3930","3968","102","18","6"
"","RamushHaradinajOfficial","2017-05-24","13570","14036","1988","362","8"
"","HashimThaciOfficial","2017-05-24","0","0","0","0","0"
"","albini2017","2017-05-23","45003","46079","748","2176","14"
"","avdullah.hoti","2017-05-23","5792","5858","28","92","6"
"","behgjeti","2017-05-23","15964","16150","220","168","2"
"","fatmirlimaj","2017-05-23","1478","1600","830","52","2"
"","IsaMustafaKS","2017-05-23","1594","1616","98","28","2"
"","kadriveseliofficial","2017-05-23","22924","23070","372","282","8"
"","mimozakusari","2017-05-23","1152","1306","46","12","6"
"","RamushHaradinajOfficial","2017-05-23","19244","19910","2764","972","10"
"","HashimThaciOfficial","2017-05-23","0","0","0","0","0"
"","albini2017","2017-05-22","18366","18868","570","1470","6"
"","avdullah.hoti","2017-05-22","11782","11828","100","176","4"
"","behgjeti","2017-05-22","25372","25540","2192","102","4"
"","HashimThaciOfficial","2017-05-22","3131","3182","77","38","2"
"","IsaMustafaKS","2017-05-22","1582","1594","40","16","2"
"","kadriveseliofficial","2017-05-22","22267","22441","478","424","10"
"","mimozakusari","2017-05-22","2146","2186","42","28","2"
"","RamushHaradinajOfficial","2017-05-22","8986","9482","3378","364","6"
"","fatmirlimaj","2017-05-22","0","0","0","0","0"
"","albini2017","2017-05-21","24716","25300","818","2020","6"
"","avdullah.hoti","2017-05-21","52582","52926","950","1478","8"
"","behgjeti","2017-05-21","3090","3126","114","80","2"
"","fatmirlimaj","2017-05-21","4706","4770","194","328","4"
"","IsaMustafaKS","2017-05-21","6724","6986","410","94","8"
"","kadriveseliofficial","2017-05-21","23374","23556","342","434","8"
"","mimozakusari","2017-05-21","6938","6978","90","20","4"
"","RamushHaradinajOfficial","2017-05-21","9414","10008","3400","432","4"
"","HashimThaciOfficial","2017-05-21","0","0","0","0","0"
"","albini2017","2017-05-20","28912","29690","736","1280","6"
"","avdullah.hoti","2017-05-20","8028","8074","126","122","6"
"","behgjeti","2017-05-20","14130","14304","408","230","4"
"","fatmirlimaj","2017-05-20","2534","2666","1066","284","4"
"","HashimThaciOfficial","2017-05-20","3443","3459","54","22","2"
"","IsaMustafaKS","2017-05-20","2276","2352","226","32","2"
"","kadriveseliofficial","2017-05-20","37846","38394","1596","1046","8"
"","mimozakusari","2017-05-20","2216","2220","28","12","8"
"","RamushHaradinajOfficial","2017-05-20","16232","16640","870","444","8"
"","avdullah.hoti","2017-05-19","5454","5606","372","66","4"
"","behgjeti","2017-05-19","12366","12436","200","52","2"
"","fatmirlimaj","2017-05-19","598","612","36","44","4"
"","HashimThaciOfficial","2017-05-19","969","1003","19","2","1"
"","IsaMustafaKS","2017-05-19","1194","1378","252","30","2"
"","kadriveseliofficial","2017-05-19","1824","1868","36","6","2"
"","mimozakusari","2017-05-19","2264","2290","112","6","4"
"","RamushHaradinajOfficial","2017-05-19","0","0","0","0","0"
"","albini2017","2017-05-19","0","0","0","0","0"
"","avdullah.hoti","2017-05-18","16660","16770","348","458","4"
"","behgjeti","2017-05-18","11706","11916","596","196","4"
"","fatmirlimaj","2017-05-18","2276","2366","384","568","4"
"","HashimThaciOfficial","2017-05-18","1224","1238","44","8","1"
"","IsaMustafaKS","2017-05-18","6906","6958","222","68","4"
"","kadriveseliofficial","2017-05-18","12328","12486","380","282","4"
"","mimozakusari","2017-05-18","208","208","16","0","2"
"","RamushHaradinajOfficial","2017-05-18","0","0","0","0","0"
"","albini2017","2017-05-18","0","0","0","0","0"
"","avdullah.hoti","2017-05-17","9842","9902","232","320","8"
"","behgjeti","2017-05-17","12200","12500","1118","88","4"
"","fatmirlimaj","2017-05-17","1030","1082","450","114","2"
"","IsaMustafaKS","2017-05-17","12812","12966","562","250","6"
"","kadriveseliofficial","2017-05-17","19776","20084","1712","628","6"
"","mimozakusari","2017-05-17","2726","2742","42","10","6"
"","RamushHaradinajOfficial","2017-05-17","16748","17710","1952","492","2"
"","albini2017","2017-05-17","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-17","0","0","0","0","0"
"","behgjeti","2017-05-16","19760","20728","4246","268","2"
"","IsaMustafaKS","2017-05-16","4264","4310","278","70","2"
"","kadriveseliofficial","2017-05-16","7148","7220","314","246","4"
"","RamushHaradinajOfficial","2017-05-16","0","0","0","0","0"
"","albini2017","2017-05-16","0","0","0","0","0"
"","avdullah.hoti","2017-05-16","0","0","0","0","0"
"","fatmirlimaj","2017-05-16","0","0","0","0","0"
"","mimozakusari","2017-05-16","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-16","0","0","0","0","0"
"","avdullah.hoti","2017-05-15","4314","4354","46","178","10"
"","fatmirlimaj","2017-05-15","2208","2228","24","94","6"
"","HashimThaciOfficial","2017-05-15","825","830","13","8","1"
"","IsaMustafaKS","2017-05-15","6832","6986","484","76","6"
"","kadriveseliofficial","2017-05-15","21570","21704","546","310","6"
"","mimozakusari","2017-05-15","2322","2350","64","22","4"
"","RamushHaradinajOfficial","2017-05-15","0","0","0","0","0"
"","albini2017","2017-05-15","0","0","0","0","0"
"","behgjeti","2017-05-15","0","0","0","0","0"
"","avdullah.hoti","2017-05-14","1626","1630","36","48","4"
"","behgjeti","2017-05-14","26780","27278","1018","370","6"
"","fatmirlimaj","2017-05-14","1786","1916","228","14","2"
"","HashimThaciOfficial","2017-05-14","1314","1356","63","14","1"
"","IsaMustafaKS","2017-05-14","4522","4564","116","114","2"
"","kadriveseliofficial","2017-05-14","23578","23732","990","522","8"
"","RamushHaradinajOfficial","2017-05-14","15364","15528","370","214","4"
"","albini2017","2017-05-14","0","0","0","0","0"
"","mimozakusari","2017-05-14","0","0","0","0","0"
"","avdullah.hoti","2017-05-13","8500","8514","180","134","18"
"","behgjeti","2017-05-13","30068","30302","606","218","8"
"","fatmirlimaj","2017-05-13","2366","2428","294","110","4"
"","HashimThaciOfficial","2017-05-13","2102","2162","109","6","1"
"","IsaMustafaKS","2017-05-13","2798","2836","122","68","4"
"","kadriveseliofficial","2017-05-13","4728","4886","468","54","2"
"","mimozakusari","2017-05-13","1634","1670","20","4","4"
"","RamushHaradinajOfficial","2017-05-13","4560","4602","134","28","2"
"","albini2017","2017-05-13","0","0","0","0","0"
"","avdullah.hoti","2017-05-12","1780","1780","26","120","6"
"","behgjeti","2017-05-12","6546","6772","806","128","4"
"","HashimThaciOfficial","2017-05-12","1233","1254","47","15","1"
"","IsaMustafaKS","2017-05-12","4982","5046","418","142","4"
"","kadriveseliofficial","2017-05-12","21556","21778","1096","300","6"
"","mimozakusari","2017-05-12","1122","1134","0","2","2"
"","RamushHaradinajOfficial","2017-05-12","0","0","0","0","0"
"","albini2017","2017-05-12","0","0","0","0","0"
"","fatmirlimaj","2017-05-12","0","0","0","0","0"
"","avdullah.hoti","2017-05-11","5295","5317","210","300","14"
"","behgjeti","2017-05-11","28178","28476","1130","608","8"
"","fatmirlimaj","2017-05-11","1426","1430","12","54","2"
"","HashimThaciOfficial","2017-05-11","2943","2962","80","42","2"
"","IsaMustafaKS","2017-05-11","2192","2292","530","50","2"
"","kadriveseliofficial","2017-05-11","20256","20604","1256","220","6"
"","mimozakusari","2017-05-11","698","710","18","0","4"
"","RamushHaradinajOfficial","2017-05-11","0","0","0","0","0"
"","albini2017","2017-05-11","0","0","0","0","0"
"","avdullah.hoti","2017-05-10","6808","6856","264","316","14"
"","behgjeti","2017-05-10","37638","37930","1246","726","2"
"","fatmirlimaj","2017-05-10","1556","1640","330","132","2"
"","IsaMustafaKS","2017-05-10","7218","7652","1880","284","4"
"","kadriveseliofficial","2017-05-10","19238","20694","6836","2616","2"
"","mimozakusari","2017-05-10","2008","2016","60","2","6"
"","RamushHaradinajOfficial","2017-05-10","5728","5824","298","472","2"
"","albini2017","2017-05-10","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-10","0","0","0","0","0"
"","behgjeti","2017-05-09","3812","3836","114","26","2"
"","fatmirlimaj","2017-05-09","1696","1698","44","60","2"
"","kadriveseliofficial","2017-05-09","17158","17618","1064","164","4"
"","mimozakusari","2017-05-09","2684","2712","58","8","10"
"","RamushHaradinajOfficial","2017-05-09","0","0","0","0","0"
"","albini2017","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-09","0","0","0","0","0"
"","IsaMustafaKS","2017-05-09","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-09","0","0","0","0","0"
"","avdullah.hoti","2017-05-08","1288","1296","50","70","4"
"","behgjeti","2017-05-08","11026","11102","184","96","2"
"","IsaMustafaKS","2017-05-08","4946","5026","472","152","6"
"","kadriveseliofficial","2017-05-08","8252","8344","650","170","2"
"","mimozakusari","2017-05-08","1150","1152","38","6","2"
"","RamushHaradinajOfficial","2017-05-08","12156","12286","222","574","2"
"","albini2017","2017-05-08","0","0","0","0","0"
"","fatmirlimaj","2017-05-08","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-08","0","0","0","0","0"
"","avdullah.hoti","2017-05-07","3488","3500","102","54","8"
"","behgjeti","2017-05-07","7462","7568","220","100","4"
"","HashimThaciOfficial","2017-05-07","2075","2092","36","4","1"
"","IsaMustafaKS","2017-05-07","4102","4134","190","64","4"
"","kadriveseliofficial","2017-05-07","6264","6336","214","64","2"
"","mimozakusari","2017-05-07","912","1018","112","14","2"
"","RamushHaradinajOfficial","2017-05-07","0","0","0","0","0"
"","albini2017","2017-06-01","11148","11488","153","499","8"
"","avdullah.hoti","2017-06-01","10340","10686","1540","354","10"
"","behgjeti","2017-06-01","9175","9333","763","100","10"
"","fatmirlimaj","2017-06-01","1947","1994","253","132","8"
"","HashimThaciOfficial","2017-06-01","3829","3853","79","62","3"
"","IsaMustafaKS","2017-06-01","942","944","8","6","2"
"","kadriveseliofficial","2017-06-01","17638","17881","1147","216","8"
"","mimozakusari","2017-06-01","1250","1256","22","4","8"
"","RamushHaradinajOfficial","2017-06-01","6394","6568","1005","314","12"
"","albini2017","2017-05-31","24976","25496","552","800","8"
"","avdullah.hoti","2017-05-31","28749","29151","2122","1204","18"
"","behgjeti","2017-05-31","23139","23579","1602","278","12"
"","fatmirlimaj","2017-05-31","2961","3043","452","244","4"
"","HashimThaciOfficial","2017-05-31","1288","1298","35","11","1"
"","IsaMustafaKS","2017-05-31","6108","6146","78","116","10"
"","kadriveseliofficial","2017-05-31","28397","28915","1644","1349","10"
"","mimozakusari","2017-05-31","5006","5044","156","60","10"
"","RamushHaradinajOfficial","2017-05-31","31936","32946","3074","3197","12"
"","albini2017","2017-05-30","42890","43800","874","2088","14"
"","avdullah.hoti","2017-05-30","15827","16025","1396","346","14"
"","behgjeti","2017-05-30","17696","17856","334","146","14"
"","fatmirlimaj","2017-05-30","1438","1496","394","104","4"
"","kadriveseliofficial","2017-05-30","36361","36701","1296","758","10"
"","mimozakusari","2017-05-30","2534","2548","60","26","6"
"","RamushHaradinajOfficial","2017-05-30","37953","38887","3210","3452","12"
"","IsaMustafaKS","2017-05-30","0","0","0","0","0"
"","HashimThaciOfficial","2017-05-30","0","0","0","0","0"
"","albini2017","2017-05-29","26334","26876","1114","1980","8"
"","avdullah.hoti","2017-05-29","28082","28610","3248","814","26"
