"dkid","EmriKandidatit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"1","albini2017","2017-06-01","13837","14249","270","722","5"
"2","avdullah.hoti","2017-06-01","15039","15577","2349","780","10"
"3","RamushHaradinajOfficial","2017-06-01","8121","8276","580","248","7"
"4","albini2017","2017-05-31","13700","13997","302","436","4"
"5","avdullah.hoti","2017-05-31","15134","15341","1072","614","9"
"6","RamushHaradinajOfficial","2017-05-31","20618","21231","1617","2017","6"
"7","albini2017","2017-05-30","22399","22892","459","1064","7"
"8","avdullah.hoti","2017-05-30","8037","8137","708","168","7"
"9","RamushHaradinajOfficial","2017-05-30","20845","21372","1627","2046","7"
"10","albini2017","2017-05-29","14699","15009","641","1122","4"
"11","avdullah.hoti","2017-05-29","14252","14524","1642","396","13"
"12","RamushHaradinajOfficial","2017-05-29","4748","4946","993","309","5"
"13","albini2017","2017-05-28","14518","14867","354","851","4"
"14","avdullah.hoti","2017-05-28","12860","13111","1641","477","8"
"15","RamushHaradinajOfficial","2017-05-28","5055","5251","1072","154","3"
"16","albini2017","2017-05-27","21044","21542","447","950","5"
"17","avdullah.hoti","2017-05-27","21349","21882","3165","659","13"
"18","RamushHaradinajOfficial","2017-05-27","9341","9623","1357","237","4"
"19","albini2017","2017-05-26","18571","19916","4699","1271","5"
"20","avdullah.hoti","2017-05-26","13403","13454","154","155","8"
"21","RamushHaradinajOfficial","2017-05-26","6745","6969","1675","188","5"
"22","albini2017","2017-05-25","9498","9693","238","551","5"
"23","avdullah.hoti","2017-05-25","12318","12380","224","178","7"
"24","RamushHaradinajOfficial","2017-05-25","6549","6818","1365","233","4"
"25","albini2017","2017-05-24","13455","13668","319","678","4"
"26","avdullah.hoti","2017-05-24","6538","6554","97","154","5"
"27","RamushHaradinajOfficial","2017-05-24","6791","7024","993","170","4"
"28","albini2017","2017-05-23","22769","23314","374","1116","7"
"29","avdullah.hoti","2017-05-23","2901","2934","14","46","3"
"30","RamushHaradinajOfficial","2017-05-23","9640","9975","1380","462","5"
"31","albini2017","2017-05-22","9354","9607","288","748","3"
"32","avdullah.hoti","2017-05-22","5893","5916","50","85","2"
"33","RamushHaradinajOfficial","2017-05-22","4497","4744","1689","178","3"
"34","albini2017","2017-05-21","12502","12797","415","1022","3"
"35","avdullah.hoti","2017-05-21","26332","26506","475","728","4"
"36","RamushHaradinajOfficial","2017-05-21","4712","5009","1698","210","2"
"37","albini2017","2017-05-20","14488","14879","367","635","3"
"38","avdullah.hoti","2017-05-20","4015","4038","63","58","3"
"39","RamushHaradinajOfficial","2017-05-20","8123","8327","435","218","4"
"40","avdullah.hoti","2017-05-19","2728","2804","186","33","2"
"41","RamushHaradinajOfficial","2017-05-19","0","0","0","0","0"
"42","albini2017","2017-05-19","0","0","0","0","0"
"43","avdullah.hoti","2017-05-18","8331","8386","174","217","2"
"44","RamushHaradinajOfficial","2017-05-18","0","0","0","0","0"
"45","albini2017","2017-05-18","0","0","0","0","0"
"46","avdullah.hoti","2017-05-17","4926","4956","116","153","4"
"47","RamushHaradinajOfficial","2017-05-17","8373","8854","975","237","1"
"48","albini2017","2017-05-17","0","0","0","0","0"
"49","RamushHaradinajOfficial","2017-05-16","0","0","0","0","0"
"50","albini2017","2017-05-16","0","0","0","0","0"
"51","avdullah.hoti","2017-05-16","0","0","0","0","0"
"52","avdullah.hoti","2017-05-15","2162","2182","23","87","5"
"53","RamushHaradinajOfficial","2017-05-15","0","0","0","0","0"
"54","albini2017","2017-05-15","0","0","0","0","0"
"55","avdullah.hoti","2017-05-14","813","815","18","24","2"
"56","RamushHaradinajOfficial","2017-05-14","7682","7764","185","107","2"
"57","albini2017","2017-05-14","0","0","0","0","0"
"58","avdullah.hoti","2017-05-13","4250","4257","90","66","9"
"59","RamushHaradinajOfficial","2017-05-13","2280","2301","67","14","1"
"60","albini2017","2017-05-13","0","0","0","0","0"
"61","avdullah.hoti","2017-05-12","892","892","13","60","3"
"62","RamushHaradinajOfficial","2017-05-12","0","0","0","0","0"
"63","albini2017","2017-05-12","0","0","0","0","0"
"64","avdullah.hoti","2017-05-11","2648","2659","105","150","7"
"65","RamushHaradinajOfficial","2017-05-11","0","0","0","0","0"
"66","albini2017","2017-05-11","0","0","0","0","0"
"67","avdullah.hoti","2017-05-10","3404","3428","132","156","7"
"68","RamushHaradinajOfficial","2017-05-10","2864","2912","149","235","1"
"69","albini2017","2017-05-10","0","0","0","0","0"
"70","RamushHaradinajOfficial","2017-05-09","0","0","0","0","0"
"71","albini2017","2017-05-09","0","0","0","0","0"
"72","avdullah.hoti","2017-05-09","0","0","0","0","0"
"73","avdullah.hoti","2017-05-08","644","648","25","35","2"
"74","RamushHaradinajOfficial","2017-05-08","6078","6143","111","287","1"
"75","albini2017","2017-05-08","0","0","0","0","0"
"151","avdullah.hoti","2017-05-07","1744","1750","51","26","4"
"152","RamushHaradinajOfficial","2017-05-07","0","0","0","0","0"
"153","albini2017","2017-05-07","0","0","0","0","0"
"154","avdullah.hoti","2017-05-06","1743","1762","63","35","3"
"155","RamushHaradinajOfficial","2017-05-06","0","0","0","0","0"
"156","albini2017","2017-05-06","0","0","0","0","0"
"157","avdullah.hoti","2017-05-05","926","928","25","47","3"
"158","RamushHaradinajOfficial","2017-05-05","2438","2463","45","55","1"
"159","albini2017","2017-05-05","0","0","0","0","0"
"160","avdullah.hoti","2017-05-04","632","632","2","13","3"
"161","RamushHaradinajOfficial","2017-05-04","0","0","0","0","0"
"162","albini2017","2017-05-04","0","0","0","0","0"
"163","avdullah.hoti","2017-05-03","1348","1362","20","9","3"
"164","RamushHaradinajOfficial","2017-05-03","0","0","0","0","0"
"165","albini2017","2017-05-03","0","0","0","0","0"
"166","avdullah.hoti","2017-05-02","57","57","0","0","1"
"167","RamushHaradinajOfficial","2017-05-02","1672","1683","23","14","1"
"168","albini2017","2017-05-02","0","0","0","0","0"
"169","albini2017","2017-06-02","14339","14690","333","504","6"
"170","avdullah.hoti","2017-06-02","11165","11509","1995","373","14"
"171","RamushHaradinajOfficial","2017-06-02","4483","4606","510","154","6"
"355","RamushHaradinajOfficial","2017-06-05","2409","2446","30","87","4"
"356","albini2017","2017-06-05","14939","15597","299","521","6"
"357","avdullah.hoti","2017-06-05","22794","23113","1403","1005","15"
"358","RamushHaradinajOfficial","2017-06-04","13617","13814","796","239","6"
"359","albini2017","2017-06-04","16305","16783","484","1308","5"
"360","avdullah.hoti","2017-06-04","14150","14578","2637","686","8"
"361","albini2017","2017-06-03","10530","10789","256","543","5"
"362","avdullah.hoti","2017-06-03","20400","20682","1705","655","17"
"363","RamushHaradinajOfficial","2017-06-03","15643","16061","2130","555","6"
"541","RamushHaradinajOfficial","2017-06-09","10236","10605","2066","830","6"
"542","albini2017","2017-06-09","11556","11932","305","649","3"
"543","avdullah.hoti","2017-06-09","36555","37217","3228","1041","15"
"544","RamushHaradinajOfficial","2017-06-08","12652","12968","1057","733","11"
"545","albini2017","2017-06-08","13520","14030","374","931","5"
"546","avdullah.hoti","2017-06-08","30165","30578","1848","1125","24"
"547","RamushHaradinajOfficial","2017-06-07","7449","7790","1667","365","6"
"548","albini2017","2017-06-07","12462","12985","240","657","4"
"549","avdullah.hoti","2017-06-07","18798","19218","2538","587","21"
"550","RamushHaradinajOfficial","2017-06-06","5592","5657","85","274","5"
"551","albini2017","2017-06-06","7749","7942","241","455","3"
"552","avdullah.hoti","2017-06-06","20301","20682","1957","1171","15"
"634","albini2017","2017-06-13","6589","6809","220","264","2"
"635","RamushHaradinajOfficial","2017-06-13","0","0","0","0","0"
"636","avdullah.hoti","2017-06-13","0","0","0","0","0"
"637","albini2017","2017-06-12","13340","13946","398","323","1"
"638","avdullah.hoti","2017-06-12","3181","3217","213","37","2"
"639","RamushHaradinajOfficial","2017-06-12","0","0","0","0","0"
"640","albini2017","2017-06-11","17053","18289","874","713","3"
"641","avdullah.hoti","2017-06-11","4720","4767","168","35","2"
"642","RamushHaradinajOfficial","2017-06-11","21980","22242","627","399","5"
"643","albini2017","2017-06-10","21687","22727","625","1133","3"
"644","avdullah.hoti","2017-06-10","279","281","5","0","1"
"645","RamushHaradinajOfficial","2017-06-10","0","0","0","0","0"
"646","albini2017","2017-10-18","1829","1921","35","39","2"
"647","avdullah.hoti","2017-10-18","3224","3237","27","17","8"
"648","RamushHaradinajOfficial","2017-10-18","1756","1770","31","26","3"
"649","albini2017","2017-10-17","1720","1794","40","52","2"
"650","avdullah.hoti","2017-10-17","3078","3091","25","51","8"
"651","RamushHaradinajOfficial","2017-10-17","1730","1743","23","35","2"
"652","albini2017","2017-10-16","497","516","3","12","1"
"653","avdullah.hoti","2017-10-16","3364","3385","25","56","12"
