"drkid","EmriKoalicionit","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"1","LDK-AKR-ALT","2017-06-01","4922","4995","166","147","18"
"2","PDK-AAK-NISMA","2017-06-01","3084","3107","40","135","19"
"3","VV","2017-06-01","13290","14264","3851","920","6"
"4","LDK-AKR-ALT","2017-05-31","7371","7398","111","151","32"
"5","PDK-AAK-NISMA","2017-05-31","2035","2046","30","93","13"
"6","VV","2017-05-31","14962","16479","5190","1464","4"
"7","LDK-AKR-ALT","2017-05-30","5600","5621","99","96","20"
"8","PDK-AAK-NISMA","2017-05-30","2606","2625","62","197","16"
"9","VV","2017-05-30","9941","11268","6240","835","4"
"10","LDK-AKR-ALT","2017-05-29","5014","5203","418","235","24"
"11","PDK-AAK-NISMA","2017-05-29","1623","1630","11","27","16"
"12","VV","2017-05-29","9015","9359","1218","1300","3"
"13","LDK-AKR-ALT","2017-05-28","2375","2393","41","68","13"
"14","PDK-AAK-NISMA","2017-05-28","1082","1088","5","10","9"
"15","VV","2017-05-28","9671","10528","3326","595","3"
"16","LDK-AKR-ALT","2017-05-27","4544","4591","71","124","14"
"17","PDK-AAK-NISMA","2017-05-27","1579","1586","26","0","10"
"18","VV","2017-05-27","13248","13797","1678","804","6"
"19","LDK-AKR-ALT","2017-05-26","9631","9720","580","299","26"
"20","PDK-AAK-NISMA","2017-05-26","2952","2963","39","74","18"
"21","VV","2017-05-26","7429","7596","702","198","5"
"22","LDK-AKR-ALT","2017-05-25","3548","3567","92","69","19"
"23","PDK-AAK-NISMA","2017-05-25","3044","3055","34","60","13"
"24","VV","2017-05-25","7912","8279","1479","544","5"
"25","LDK-AKR-ALT","2017-05-24","4684","4704","58","75","12"
"26","PDK-AAK-NISMA","2017-05-24","2799","2811","39","59","15"
"27","VV","2017-05-24","5627","5936","1911","299","4"
"28","LDK-AKR-ALT","2017-05-23","3746","3761","52","18","10"
"29","PDK-AAK-NISMA","2017-05-23","1789","1798","35","74","13"
"30","VV","2017-05-23","5280","5474","1239","266","4"
"31","LDK-AKR-ALT","2017-05-22","7000","7049","244","163","16"
"32","PDK-AAK-NISMA","2017-05-22","6731","7354","1451","507","9"
"33","VV","2017-05-22","4356","4436","125","73","3"
"34","LDK-AKR-ALT","2017-05-21","7678","7720","82","195","16"
"35","PDK-AAK-NISMA","2017-05-21","2528","2551","87","125","10"
"36","VV","2017-05-21","14859","16164","4358","1328","4"
"37","LDK-AKR-ALT","2017-05-20","2787","2806","153","62","15"
"38","PDK-AAK-NISMA","2017-05-20","1406","1436","68","107","7"
"39","VV","2017-05-20","3803","3984","80","200","1"
"40","LDK-AKR-ALT","2017-05-19","4967","5111","114","128","18"
"41","PDK-AAK-NISMA","2017-05-19","1695","1713","99","58","9"
