"EmriKandidatit","Data","NrLike","NrReaction","NrKomenteve","NrShare","nrPosteve","Partia","Komuna"
"1555763194717660","2017-10-25","651","653","70","22","1","AAK","Istog"
"910656602314125","2017-10-25","83","87","1","6","1","LDK","Sharr"
"abrashiarban","2017-10-25","1068","1078","37","30","2","LDK","Prishtina"
"Agim.Bahtirii","2017-10-25","736","762","117","20","2","AKR","Mitrovica"
"AjetPotera2017","2017-10-25","600","612","31","29","1","LÃ«vizja VETÃ‹VENDOSJE!","PodujevÃ«"
"ardiangjiniaak","2017-10-25","842","844","54","14","1","AAK","Gjakova"
"BekimHamezJashari","2017-10-25","444","446","46","19","1","KP","Skenderaj"
"BlerandKadrijajofficial","2017-10-25","83","83","2","2","1","PDK","DeÃ§an"
"Dr.IdrizVehapi","2017-10-25","119","119","0","0","1","PDK","Rahovec"
"feritidrizii","2017-10-25","220","220","21","2","1","PDK","Vushtrri"
"hazirilutfi","2017-10-25","1142","1144","21","16","3","LDK","Gjilan"
"mal.lokaj1","2017-10-25","104","104","7","8","1","LDK","DeÃ§an"
"muharremsvarqazyrtare","2017-10-25","210","212","6","2","2","LDK","Ferizaj"
"pdkmalisheva","2017-10-25","23","23","0","0","1","PDK","MalishevÃ«"
"ShpendAhmetii","2017-10-25","1068","1109","57","34","2","LÃ«vizja VETÃ‹VENDOSJE!","Prishtina"
"validrizi","2017-10-25","1314","1323","101","17","8","PDK","Mitrovica"
"101664896548627","2017-10-25","0","0","0","0","0","LDK","Obiliq"
"lulzimkabashi.ak","2017-10-25","0","0","0","0","0","AAK","Prizren"
"vllahiuarber","2017-10-25","0","0","0","0","0","AAK","Prishtina"
"aaksuharekeofficial","2017-10-25","0","0","0","0","0","AAK","SuharekÃ«"
"vetevendosjekastriot","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Obiliq"
"salihsalihu19","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Viti"
"shaqirtotaj","2017-10-25","0","0","0","0","0","PDK","Prizren"
"130664660988134","2017-10-25","0","0","0","0","0","SL","DeÃ§an"
"besimhotikline","2017-10-25","0","0","0","0","0","LDK","KlinÃ«"
"BlerimiperSuhareke","2017-10-25","0","0","0","0","0","PDK","SuharekÃ«"
"BashotaSokol","2017-10-25","0","0","0","0","0","PDK","KlinÃ«"
"fatmirgashipeje","2017-10-25","0","0","0","0","0","AAK","Peja"
"LvvKacanik","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KaÃ§anik"
"LirakCelaj.ks","2017-10-25","0","0","0","0","0","PDK","Prishtina"
"zekesinanajdecan","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","DeÃ§an"
"1471112073125298","2017-10-25","0","0","0","0","0","AKR","Skenderaj"
"XhavitZariqiOfficial","2017-10-25","0","0","0","0","0","AAK","Ferizaj"
"mimozakusari","2017-10-25","0","0","0","0","0","ALT","Gjakova"
"CaushiDriton","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjakova"
"imri.ahmeti","2017-10-25","0","0","0","0","0","LDK","Lipjan"
"sabihashalaofficial","2017-10-25","0","0","0","0","0","PDK","Peja"
"pdkdegaviti","2017-10-25","0","0","0","0","0","PDK","Viti"
"FatonTopalli2017","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Ferizaj"
"VVMalisheva","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","MalishevÃ«"
"ramizlladrovci","2017-10-25","0","0","0","0","0","PDK","Drenas"
"1891305244219623","2017-10-25","0","0","0","0","0","AAK","DeÃ§an"
"oliverivanovickos","2017-10-25","0","0","0","0","0","IQ","Mitrovica Veriore"
"1914605832085405","2017-10-25","0","0","0","0","0","SL","Partesh"
"SamiKurteshi13","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Gjilan"
"1934481086825941","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","SuharekÃ«"
"KryetarFehmiFerati","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Mitrovica"
"1940058396319659","2017-10-25","0","0","0","0","0","PDK","Obiliq"
"voto47","2017-10-25","0","0","0","0","0","LDK","Rahovec"
"FatmirRashitiVoto54","2017-10-25","0","0","0","0","0","KP","Shtime"
"gradonacelnikjablanovic","2017-10-25","0","0","0","0","0","PKS","Leposaviq"
"xhafertahiriofficial","2017-10-25","0","0","0","0","0","LDK","Vushtrri"
"222542211233814","2017-10-25","0","0","0","0","0","AAK","Junik"
"asllanajsali","2017-10-25","0","0","0","0","0","LDK","SuharekÃ«"
"Zenunelezaj1963","2017-10-25","0","0","0","0","0","AAK","KlinÃ«"
"mhaskukaa","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Prizren"
"BurimBerishaOfficial","2017-10-25","0","0","0","0","0","LDK","FushÃ« KosovÃ«"
"xhemajlajisa","2017-10-25","0","0","0","0","0","NISMA","Drenas"
"310775596061589","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Vushtrri"
"ShkelqimMJakupi","2017-10-25","0","0","0","0","0","LDK","KaÃ§anik"
"selimshabanldk47","2017-10-25","0","0","0","0","0","LDK","Shtime"
"LVVKline","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","KlinÃ«"
"Agron.Avdijaj10","2017-10-25","0","0","0","0","0","LÃ«vizja VETÃ‹VENDOSJE!","Istog"
"AgimAliuPDK94","2017-10-25","0","0","0","0","0","PDK","Ferizaj"
"RexhepKadriu.rks","2017-10-25","0","0","0","0","0","AAK","Gjilan"
