"dpid","EmriPartise","Data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve","koalicionet"
"497","drejtesiaofficial","2017-05-31","256","257","12","33","4",""
"498","AlternativaKosova","2017-05-31","482","484","6","11","6",""
"499","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-31","4544","4559","68","93","10",""
"500","Aleanca.Official","2017-05-31","605","610","5","0","4",""
"501","aleancakosovaere","2017-05-31","2345","2355","37","47","16",""
"502","vetevendosje","2017-05-31","14962","16479","5190","1464","4",""
"503","PDKqender","2017-05-31","1124","1129","9","60","4",""
"504","nismaperkosoven.official","2017-05-31","50","50","4","0","1",""
"505","Aleanca.Official","2017-05-30","1616","1633","48","177","7",""
"506","aleancakosovaere","2017-05-30","1347","1355","32","49","12",""
"507","AlternativaKosova","2017-05-30","847","852","13","8","7",""
"508","nismaperkosoven.official","2017-05-30","497","498","12","20","7",""
"509","PDKqender","2017-05-30","493","494","2","0","2",""
"510","vetevendosje","2017-05-30","9941","11268","6240","835","4",""
"511","drejtesiaofficial","2017-05-30","0","0","0","0","0",""
"512","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-30","3406","3414","54","39","1",""
"513","Aleanca.Official","2017-05-29","687","692","3","5","6",""
"514","aleancakosovaere","2017-05-29","1549","1564","50","30","10",""
"515","AlternativaKosova","2017-05-29","1098","1106","28","19","10",""
"516","drejtesiaofficial","2017-05-29","37","37","0","2","1",""
"517","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-29","2367","2533","340","186","4",""
"518","nismaperkosoven.official","2017-05-29","545","545","4","20","8",""
"519","PDKqender","2017-05-29","354","356","4","0","1",""
"520","vetevendosje","2017-05-29","9015","9359","1218","1300","3",""
"521","Aleanca.Official","2017-05-28","338","342","0","0","3",""
"522","aleancakosovaere","2017-05-28","1828","1840","35","67","11",""
"523","AlternativaKosova","2017-05-28","61","61","0","1","1",""
"524","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-28","486","492","6","0","1",""
"525","nismaperkosoven.official","2017-05-28","461","461","3","10","5",""
"526","PDKqender","2017-05-28","283","285","2","0","1",""
"527","vetevendosje","2017-05-28","9671","10528","3326","595","3",""
"528","drejtesiaofficial","2017-05-28","0","0","0","0","0",""
"529","Aleanca.Official","2017-05-27","574","577","4","0","3",""
"530","aleancakosovaere","2017-05-27","3603","3643","59","124","10",""
"531","AlternativaKosova","2017-05-27","247","248","1","0","1",""
"532","LidhjaDemokratikeeKosovesOFFICIAL","2017-05-27","694","700","11","0","3",""
"533","nismaperkosoven.official","2017-05-27","152","154","1","0","4",""
"534","PDKqender","2017-05-27","853","855","21","0","3",""
"535","vetevendosje","2017-05-27","13248","13797","1678","804","6",""
"536","drejtesiaofficial","2017-05-27","0","0","0","0","0",""
"537","Aleanca.Official","2017-05-26","1665","1668","14","35","8",""
"538","aleancakosovaere","2017-05-26","3912","3982","465","132","16",""
"539","AlternativaKosova","2017-05-26","433","433","4","6","4",""
"540","drejtesiaofficial","2017-05-26","160","161","1","26","3",""
