"duid","emrikandidatit","data","nrLike","nrReaction","nrKomente","nrShare","nrPosteve"
"","AAB.edu","2017-06-13","75","75","2","4","2"
"","kolegjidardania","2017-06-13","41","41","0","2","1"
"","KolegjiGlobus","2017-06-13","14","14","0","1","1"
"","RiinvestCollege","2017-06-13","12","12","0","6","1"
"","RITinKosovo","2017-06-13","5","5","0","0","1"
"","universitetiiliria","2017-06-13","81","81","0","11","2"
"","UniversitetiPrishtines","2017-06-13","540","542","270","28","18"
"","UniversitetiUBT","2017-06-13","192","195","1","3","3"
"","universumcollege","2017-06-13","91","91","0","0","2"
"","www.kolegjifama.eu","2017-06-13","11","13","0","0","2"
"","UGJFA","2017-06-13","0","0","0","0","0"
"","366223313437608","2017-06-13","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-13","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-13","0","0","0","0","0"
"","akademia.evolucion","2017-06-13","0","0","0","0","0"
"","kolegjibiznesi","2017-06-13","0","0","0","0","0"
"","kugjilani","2017-06-13","0","0","0","0","0"
"","kolegji.ispe","2017-06-13","0","0","0","0","0"
"","KolegjiPjeterBudi","2017-06-13","0","0","0","0","0"
"","www.tempulli.org","2017-06-13","0","0","0","0","0"
"","KolegjiUniversi","2017-06-13","0","0","0","0","0"
"","Ibcmitrovica","2017-06-13","0","0","0","0","0"
"","RITinKosovo","2017-06-12","13","13","0","0","1"
"","UniversitetiPrishtines","2017-06-12","2","2","0","0","2"
"","UniversitetiUBT","2017-06-12","438","450","39","16","3"
"","www.kolegjifama.eu","2017-06-12","10","10","0","0","1"
"","UGJFA","2017-06-12","0","0","0","0","0"
"","366223313437608","2017-06-12","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-12","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-12","0","0","0","0","0"
"","akademia.evolucion","2017-06-12","0","0","0","0","0"
"","AAB.edu","2017-06-12","0","0","0","0","0"
"","kolegjibiznesi","2017-06-12","0","0","0","0","0"
"","kolegjidardania","2017-06-12","0","0","0","0","0"
"","kugjilani","2017-06-12","0","0","0","0","0"
"","KolegjiGlobus","2017-06-12","0","0","0","0","0"
"","universitetiiliria","2017-06-12","0","0","0","0","0"
"","kolegji.ispe","2017-06-12","0","0","0","0","0"
"","KolegjiPjeterBudi","2017-06-12","0","0","0","0","0"
"","RiinvestCollege","2017-06-12","0","0","0","0","0"
"","www.tempulli.org","2017-06-12","0","0","0","0","0"
"","KolegjiUniversi","2017-06-12","0","0","0","0","0"
"","universumcollege","2017-06-12","0","0","0","0","0"
"","Ibcmitrovica","2017-06-12","0","0","0","0","0"
"","kolegji.ispe","2017-06-11","34","34","0","7","1"
"","UniversitetiUBT","2017-06-11","151","151","3","4","1"
"","UniversitetiPrishtines","2017-06-11","0","0","0","0","0"
"","UGJFA","2017-06-11","0","0","0","0","0"
"","366223313437608","2017-06-11","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-11","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-11","0","0","0","0","0"
"","akademia.evolucion","2017-06-11","0","0","0","0","0"
"","AAB.edu","2017-06-11","0","0","0","0","0"
"","RITinKosovo","2017-06-11","0","0","0","0","0"
"","kolegjibiznesi","2017-06-11","0","0","0","0","0"
"","kolegjidardania","2017-06-11","0","0","0","0","0"
"","www.kolegjifama.eu","2017-06-11","0","0","0","0","0"
"","kugjilani","2017-06-11","0","0","0","0","0"
"","KolegjiGlobus","2017-06-11","0","0","0","0","0"
"","universitetiiliria","2017-06-11","0","0","0","0","0"
"","KolegjiPjeterBudi","2017-06-11","0","0","0","0","0"
"","RiinvestCollege","2017-06-11","0","0","0","0","0"
"","www.tempulli.org","2017-06-11","0","0","0","0","0"
"","KolegjiUniversi","2017-06-11","0","0","0","0","0"
"","universumcollege","2017-06-11","0","0","0","0","0"
"","Ibcmitrovica","2017-06-11","0","0","0","0","0"
"","kolegjidardania","2017-06-10","21","22","0","0","1"
"","kugjilani","2017-06-10","18","18","0","2","3"
"","UniversitetiPrishtines","2017-06-10","0","0","0","0","0"
"","UGJFA","2017-06-10","0","0","0","0","0"
"","366223313437608","2017-06-10","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-10","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-10","0","0","0","0","0"
"","akademia.evolucion","2017-06-10","0","0","0","0","0"
"","AAB.edu","2017-06-10","0","0","0","0","0"
"","RITinKosovo","2017-06-10","0","0","0","0","0"
"","kolegjibiznesi","2017-06-10","0","0","0","0","0"
"","www.kolegjifama.eu","2017-06-10","0","0","0","0","0"
"","KolegjiGlobus","2017-06-10","0","0","0","0","0"
"","universitetiiliria","2017-06-10","0","0","0","0","0"
"","kolegji.ispe","2017-06-10","0","0","0","0","0"
"","KolegjiPjeterBudi","2017-06-10","0","0","0","0","0"
"","RiinvestCollege","2017-06-10","0","0","0","0","0"
"","www.tempulli.org","2017-06-10","0","0","0","0","0"
"","UniversitetiUBT","2017-06-10","0","0","0","0","0"
"","KolegjiUniversi","2017-06-10","0","0","0","0","0"
"","universumcollege","2017-06-10","0","0","0","0","0"
"","Ibcmitrovica","2017-06-10","0","0","0","0","0"
"","366223313437608","2017-06-09","16","16","6","1","1"
"","AAB.edu","2017-06-09","116","116","2","3","2"
"","kolegji.ispe","2017-06-09","45","48","0","10","1"
"","KolegjiPjeterBudi","2017-06-09","14","14","0","0","3"
"","RITinKosovo","2017-06-09","6","6","1","7","1"
"","universitetiiliria","2017-06-09","180","181","1","20","5"
"","UniversitetiPrishtines","2017-06-09","190","190","0","4","2"
"","UniversitetiUBT","2017-06-09","89","89","0","0","3"
"","universumcollege","2017-06-09","263","265","114","25","2"
"","www.kolegjifama.eu","2017-06-09","15","15","0","0","3"
"","UGJFA","2017-06-09","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-09","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-09","0","0","0","0","0"
"","akademia.evolucion","2017-06-09","0","0","0","0","0"
"","kolegjibiznesi","2017-06-09","0","0","0","0","0"
"","kolegjidardania","2017-06-09","0","0","0","0","0"
"","kugjilani","2017-06-09","0","0","0","0","0"
"","KolegjiGlobus","2017-06-09","0","0","0","0","0"
"","RiinvestCollege","2017-06-09","0","0","0","0","0"
"","www.tempulli.org","2017-06-09","0","0","0","0","0"
"","KolegjiUniversi","2017-06-09","0","0","0","0","0"
"","Ibcmitrovica","2017-06-09","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-08","312","313","4","5","4"
"","kolegji.ispe","2017-06-08","103","103","4","4","2"
"","KolegjiPjeterBudi","2017-06-08","9","9","0","0","1"
"","kugjilani","2017-06-08","4","4","0","1","1"
"","RiinvestCollege","2017-06-08","115","115","7","10","1"
"","RITinKosovo","2017-06-08","8","8","0","0","1"
"","UniversitetiPrishtines","2017-06-08","70","70","0","0","2"
"","UniversitetiUBT","2017-06-08","115","115","0","3","4"
"","universumcollege","2017-06-08","37","37","14","11","1"
"","www.kolegjifama.eu","2017-06-08","6","6","0","0","1"
"","UGJFA","2017-06-08","0","0","0","0","0"
"","366223313437608","2017-06-08","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-08","0","0","0","0","0"
"","akademia.evolucion","2017-06-08","0","0","0","0","0"
"","AAB.edu","2017-06-08","0","0","0","0","0"
"","kolegjibiznesi","2017-06-08","0","0","0","0","0"
"","kolegjidardania","2017-06-08","0","0","0","0","0"
"","KolegjiGlobus","2017-06-08","0","0","0","0","0"
"","universitetiiliria","2017-06-08","0","0","0","0","0"
"","www.tempulli.org","2017-06-08","0","0","0","0","0"
"","KolegjiUniversi","2017-06-08","0","0","0","0","0"
"","Ibcmitrovica","2017-06-08","0","0","0","0","0"
"","AAB.edu","2017-06-07","75","75","1","1","1"
"","akademia.evolucion","2017-06-07","6","6","0","0","1"
"","kolegji.ispe","2017-06-07","30","30","0","3","1"
"","kolegjibiznesi","2017-06-07","146","146","0","9","1"
"","kolegjidardania","2017-06-07","72","72","0","1","2"
"","KolegjiPjeterBudi","2017-06-07","25","25","0","1","2"
"","kugjilani","2017-06-07","11","11","0","0","1"
"","RiinvestCollege","2017-06-07","27","27","0","0","1"
"","RITinKosovo","2017-06-07","189","192","2","10","2"
"","universitetiiliria","2017-06-07","85","86","0","4","1"
"","UniversitetiPrishtines","2017-06-07","268","270","2","4","8"
"","UniversitetiUBT","2017-06-07","119","119","5","11","3"
"","UGJFA","2017-06-07","0","0","0","0","0"
"","366223313437608","2017-06-07","0","0","0","0","0"
"","FakultetiIStudimeveIslameFsiPrishtine","2017-06-07","0","0","0","0","0"
"","AkademiaeKosovesperSiguriPublike","2017-06-07","0","0","0","0","0"
"","www.kolegjifama.eu","2017-06-07","0","0","0","0","0"
"","KolegjiGlobus","2017-06-07","0","0","0","0","0"
"","www.tempulli.org","2017-06-07","0","0","0","0","0"
"","KolegjiUniversi","2017-06-07","0","0","0","0","0"
