"postiid","kandidatiname","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"1023130284375539_1665393793482515","DardanMolliqaj8","2017-10-02 21:29:08","3736","3890","200","211"
"1023130284375539_1665994943422400","DardanMolliqaj8","2017-10-03 18:43:02","1451","1489","52","117"
"1023130284375539_1671872542834640","DardanMolliqaj8","2017-10-09 17:00:33","839","856","36","13"
"1023130284375539_1675070489181512","DardanMolliqaj8","2017-10-12 22:50:32","887","924","102","27"
"1023130284375539_1676949758993585","DardanMolliqaj8","2017-10-14 21:29:33","1520","1557","22","12"
"1023130284375539_1678748508813710","DardanMolliqaj8","2017-10-16 19:40:34","954","995","43","37"
"1023130284375539_1679582838730277","DardanMolliqaj8","2017-10-17 18:34:49","560","589","11","23"
"1023130284375539_1681463528542208","DardanMolliqaj8","2017-10-19 18:58:13","1273","1307","18","13"
"1023130284375539_1682389405116287","DardanMolliqaj8","2017-10-20 17:20:38","535","602","98","31"
"1023130284375539_1697342440287650","DardanMolliqaj8","2017-11-04 16:12:05","523","538","10","15"
"151644000915_10154671018900916","mimozakusari","2017-10-02 09:16:44","106","107","3","0"
"151644000915_10154671213890916","mimozakusari","2017-10-02 13:11:03","329","335","26","8"
"151644000915_10154671455790916","mimozakusari","2017-10-02 15:29:21","484","485","21","3"
"151644000915_10154671553525916","mimozakusari","2017-10-02 16:08:44","337","341","1","0"
"151644000915_10154671969170916","mimozakusari","2017-10-02 20:32:03","123","123","4","2"
"151644000915_10154673217025916","mimozakusari","2017-10-03 11:10:06","245","249","1","0"
"151644000915_10154673246595916","mimozakusari","2017-10-03 11:42:41","234","236","1","0"
"151644000915_10154673854670916","mimozakusari","2017-10-03 18:27:13","301","313","16","0"
"151644000915_10154673870940916","mimozakusari","2017-10-03 18:36:28","240","243","2","0"
"151644000915_10154674159655916","mimozakusari","2017-10-03 21:39:28","260","261","12","1"
"151644000915_10154674226175916","mimozakusari","2017-10-03 22:20:12","279","279","5","0"
"151644000915_10154675661085916","mimozakusari","2017-10-04 15:50:59","264","264","3","0"
"151644000915_10154675708125916","mimozakusari","2017-10-04 16:20:20","442","445","8","7"
"151644000915_10154677224940916","mimozakusari","2017-10-05 07:25:50","356","357","8","3"
"151644000915_10154677966830916","mimozakusari","2017-10-05 17:10:47","309","314","15","4"
"151644000915_10154678073585916","mimozakusari","2017-10-05 18:10:16","437","437","8","3"
"151644000915_10154678084620916","mimozakusari","2017-10-05 18:17:30","199","199","0","3"
"151644000915_10154678106490916","mimozakusari","2017-10-05 18:29:23","263","263","4","1"
"151644000915_10154678122365916","mimozakusari","2017-10-05 18:39:48","513","513","10","7"
"151644000915_10154678262545916","mimozakusari","2017-10-05 19:58:48","105","105","7","1"
"151644000915_10154679575150916","mimozakusari","2017-10-06 08:16:21","115","115","4","1"
"151644000915_10154679608900916","mimozakusari","2017-10-06 08:59:51","100","100","1","1"
"151644000915_10154679683870916","mimozakusari","2017-10-06 10:51:18","118","118","0","4"
"151644000915_10154679691205916","mimozakusari","2017-10-06 11:29:53","201","204","5","1"
"151644000915_10154679996455916","mimozakusari","2017-10-06 15:18:46","212","213","2","3"
"151644000915_10154680030840916","mimozakusari","2017-10-06 15:14:48","171","175","4","0"
"151644000915_10154680520475916","mimozakusari","2017-10-06 18:52:06","597","603","6","1"
"151644000915_10154680722810916","mimozakusari","2017-10-06 20:55:34","226","227","1","0"
"151644000915_10154680854015916","mimozakusari","2017-10-06 22:08:58","242","242","0","0"
