"postiid","kandidatiname","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"179643115493444_647408378716913","RamushHaradinajOfficial","2017-09-26 18:53:44","636","637","13","8"
"179643115493444_647740218683729","RamushHaradinajOfficial","2017-09-27 13:48:00","2039","2079","40","0"
"179643115493444_647904895333928","RamushHaradinajOfficial","2017-09-27 19:53:21","3249","3289","67","49"
"179643115493444_648724671918617","RamushHaradinajOfficial","2017-09-29 13:41:56","844","848","4","7"
"179643115493444_648761591914925","RamushHaradinajOfficial","2017-09-29 15:12:12","518","521","1","3"
"179643115493444_648779085246509","RamushHaradinajOfficial","2017-09-29 15:52:17","1080","1092","5","6"
"179643115493444_648790668578684","RamushHaradinajOfficial","2017-09-29 16:17:19","599","603","11","5"
"179643115493444_649053435219074","RamushHaradinajOfficial","2017-09-29 21:30:41","2728","2762","244","38"
"179643115493444_650450288412722","RamushHaradinajOfficial","2017-10-02 12:46:04","645","653","12","9"
"179643115493444_650520025072415","RamushHaradinajOfficial","2017-10-02 15:35:14","478","520","19","12"
"179643115493444_650570345067383","RamushHaradinajOfficial","2017-10-02 17:28:43","366","370","7","4"
"179643115493444_650575301733554","RamushHaradinajOfficial","2017-10-02 17:40:59","851","864","18","28"
"179643115493444_650587785065639","RamushHaradinajOfficial","2017-10-02 18:09:02","593","625","9","6"
"179643115493444_650652005059217","RamushHaradinajOfficial","2017-10-02 21:01:42","2176","2193","21","19"
"179643115493444_651469734977444","RamushHaradinajOfficial","2017-10-04 13:06:04","636","642","10","6"
"179643115493444_651513141639770","RamushHaradinajOfficial","2017-10-04 14:44:54","1347","1362","38","50"
"179643115493444_651635891627495","RamushHaradinajOfficial","2017-10-04 19:11:34","415","419","2","3"
"179643115493444_652569858200765","RamushHaradinajOfficial","2017-10-05 15:02:07","537","539","3","7"
"179643115493444_652662684858149","RamushHaradinajOfficial","2017-10-06 13:34:33","1033","1040","10","10"
"179643115493444_652681124856305","RamushHaradinajOfficial","2017-10-06 14:22:02","427","432","2","1"
"179643115493444_652737704850647","RamushHaradinajOfficial","2017-10-06 16:24:14","529","532","12","6"
"179643115493444_653253471465737","RamushHaradinajOfficial","2017-10-07 16:13:40","1177","1184","30","21"
"179643115493444_654235308034220","RamushHaradinajOfficial","2017-10-09 12:49:17","931","937","21","25"
"179643115493444_654299531361131","RamushHaradinajOfficial","2017-10-09 15:16:21","833","836","8","8"
"179643115493444_654325421358542","RamushHaradinajOfficial","2017-10-09 16:05:10","418","418","1","5"
"179643115493444_654473004677117","RamushHaradinajOfficial","2017-10-09 21:14:08","3322","3345","69","57"
"179643115493444_654901541300930","RamushHaradinajOfficial","2017-10-10 17:21:24","493","495","8","3"
"179643115493444_654944261296658","RamushHaradinajOfficial","2017-10-10 17:10:17","447","448","6","8"
"179643115493444_655388234585594","RamushHaradinajOfficial","2017-10-11 15:52:45","1218","1231","9","13"
"179643115493444_655421267915624","RamushHaradinajOfficial","2017-10-11 17:03:53","876","881","3","8"
"179643115493444_655447177913033","RamushHaradinajOfficial","2017-10-11 18:20:26","1538","1547","7","18"
"179643115493444_655841534540264","RamushHaradinajOfficial","2017-10-12 13:59:46","726","732","9","13"
"179643115493444_655884747869276","RamushHaradinajOfficial","2017-10-12 15:37:16","1404","1413","12","29"
"179643115493444_655991034525314","RamushHaradinajOfficial","2017-10-12 19:40:37","457","457","2","4"
"179643115493444_656452877812463","RamushHaradinajOfficial","2017-10-13 16:08:09","658","666","13","5"
"179643115493444_656474451143639","RamushHaradinajOfficial","2017-10-13 16:53:51","674","677","6","8"
"179643115493444_656944774429940","RamushHaradinajOfficial","2017-10-14 13:45:20","1499","1512","29","13"
"179643115493444_656958287761922","RamushHaradinajOfficial","2017-10-14 14:17:30","589","593","8","9"
