"postiid","partianame","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare","koalicionet"
"109871045779576_1165725250194145","drejtesiaofficial","2017-09-27 14:53:31","28","29","0","2","PDK-AAK-NISMA"
"109871045779576_1165760513523952","drejtesiaofficial","2017-09-27 15:58:25","18","18","0","0","PDK-AAK-NISMA"
"109871045779576_1166409993459004","drejtesiaofficial","2017-09-28 15:23:55","16","16","0","0","PDK-AAK-NISMA"
"109871045779576_1166435200123150","drejtesiaofficial","2017-09-28 16:04:55","32","32","0","3","PDK-AAK-NISMA"
"109871045779576_1166439473456056","drejtesiaofficial","2017-09-28 16:13:29","30","30","1","5","PDK-AAK-NISMA"
"109871045779576_1168361439930526","drejtesiaofficial","2017-10-01 11:11:47","16","16","0","0","PDK-AAK-NISMA"
"109871045779576_1168361846597152","drejtesiaofficial","2017-10-01 11:12:46","15","15","0","0","PDK-AAK-NISMA"
"109871045779576_1168549803245023","drejtesiaofficial","2017-10-01 17:16:51","43","43","1","2","PDK-AAK-NISMA"
"109871045779576_1168999609866709","drejtesiaofficial","2017-10-02 09:36:56","34","34","1","7","PDK-AAK-NISMA"
"109871045779576_1169023879864282","drejtesiaofficial","2017-10-02 10:40:29","16","16","1","1","PDK-AAK-NISMA"
"109871045779576_1169046223195381","drejtesiaofficial","2017-10-02 11:27:51","28","28","0","0","PDK-AAK-NISMA"
"109871045779576_1169050906528246","drejtesiaofficial","2017-10-02 11:33:58","31","31","1","4","PDK-AAK-NISMA"
"109871045779576_1169258986507438","drejtesiaofficial","2017-10-02 17:48:13","61","61","1","0","PDK-AAK-NISMA"
"109871045779576_1169343376498999","drejtesiaofficial","2017-10-02 20:14:18","10","12","0","0","PDK-AAK-NISMA"
"109871045779576_1169679593132044","drejtesiaofficial","2017-10-03 08:16:43","25","25","0","0","PDK-AAK-NISMA"
"109871045779576_1171943926238944","drejtesiaofficial","2017-10-06 12:45:37","42","42","1","2","PDK-AAK-NISMA"
"109871045779576_1172041682895835","drejtesiaofficial","2017-10-06 15:48:52","43","43","0","4","PDK-AAK-NISMA"
"109871045779576_1172911876142149","drejtesiaofficial","2017-10-07 19:37:14","36","36","0","5","PDK-AAK-NISMA"
"109871045779576_1173377269428943","drejtesiaofficial","2017-10-08 11:43:14","15","15","0","0","PDK-AAK-NISMA"
"109871045779576_1173453656087971","drejtesiaofficial","2017-10-08 12:51:54","17","17","0","0","PDK-AAK-NISMA"
"109871045779576_1173757132724290","drejtesiaofficial","2017-10-08 21:13:44","16","16","1","3","PDK-AAK-NISMA"
"109871045779576_1175075849259085","drejtesiaofficial","2017-10-10 17:07:15","21","21","0","0","PDK-AAK-NISMA"
"109871045779576_1175177515915585","drejtesiaofficial","2017-10-10 19:51:53","11","11","0","0","PDK-AAK-NISMA"
"109871045779576_1175235495909787","drejtesiaofficial","2017-10-10 21:33:19","25","25","2","8","PDK-AAK-NISMA"
"109871045779576_1175581969208473","drejtesiaofficial","2017-10-11 10:30:04","30","30","1","4","PDK-AAK-NISMA"
"109871045779576_1177077805725556","drejtesiaofficial","2017-10-13 14:57:21","27","27","0","3","PDK-AAK-NISMA"
"109871045779576_1177713045662032","drejtesiaofficial","2017-10-14 11:42:40","19","19","0","2","PDK-AAK-NISMA"
"109871045779576_1178593708907299","drejtesiaofficial","2017-10-15 16:43:46","27","27","0","7","PDK-AAK-NISMA"
"109871045779576_1178706125562724","drejtesiaofficial","2017-10-15 19:47:50","31","31","0","6","PDK-AAK-NISMA"
"109871045779576_1178721242227879","drejtesiaofficial","2017-10-15 20:09:42","47","47","0","16","PDK-AAK-NISMA"
"109871045779576_1179421505491186","drejtesiaofficial","2017-10-16 19:17:15","19","19","0","0","PDK-AAK-NISMA"
"109871045779576_1179423215491015","drejtesiaofficial","2017-10-16 19:20:47","32","32","0","0","PDK-AAK-NISMA"
"109871045779576_1179505432149460","drejtesiaofficial","2017-10-16 21:43:34","16","16","3","0","PDK-AAK-NISMA"
"109871045779576_1179536582146345","drejtesiaofficial","2017-10-16 22:25:01","54","54","0","2","PDK-AAK-NISMA"
"109871045779576_1179810018785668","drejtesiaofficial","2017-10-17 08:48:37","37","37","0","2","PDK-AAK-NISMA"
"109871045779576_1180982468668423","drejtesiaofficial","2017-10-18 22:26:41","12","12","0","0","PDK-AAK-NISMA"
"109871045779576_1181007055332631","drejtesiaofficial","2017-10-18 23:25:56","23","23","0","3","PDK-AAK-NISMA"
"109871045779576_1181996711900332","drejtesiaofficial","2017-10-20 09:25:20","18","18","0","0","PDK-AAK-NISMA"
"109871045779576_1181996941900309","drejtesiaofficial","2017-10-20 09:25:54","25","25","1","0","PDK-AAK-NISMA"
"109871045779576_1181997405233596","drejtesiaofficial","2017-10-20 09:26:53","17","17","0","0","PDK-AAK-NISMA"
"109871045779576_1181997521900251","drejtesiaofficial","2017-10-20 09:27:06","14","14","0","0","PDK-AAK-NISMA"
"109871045779576_1181997595233577","drejtesiaofficial","2017-10-20 09:27:20","19","19","0","0","PDK-AAK-NISMA"
"109871045779576_1181997731900230","drejtesiaofficial","2017-10-20 09:27:39","20","20","0","0","PDK-AAK-NISMA"
"109871045779576_1181997811900222","drejtesiaofficial","2017-10-20 09:27:49","15","15","0","0","PDK-AAK-NISMA"
"109871045779576_1181997985233538","drejtesiaofficial","2017-10-20 09:28:14","14","14","0","0","PDK-AAK-NISMA"
"109871045779576_1181998068566863","drejtesiaofficial","2017-10-20 09:28:28","15","15","0","0","PDK-AAK-NISMA"
"109871045779576_1181998141900189","drejtesiaofficial","2017-10-20 09:28:40","13","13","0","0","PDK-AAK-NISMA"
"109871045779576_1181998235233513","drejtesiaofficial","2017-10-20 09:28:53","12","12","0","0","PDK-AAK-NISMA"
"109871045779576_1181998361900167","drejtesiaofficial","2017-10-20 09:29:07","10","10","0","3","PDK-AAK-NISMA"
"109871045779576_1182211988545471","drejtesiaofficial","2017-10-20 16:37:21","9","9","0","0","PDK-AAK-NISMA"
"109871045779576_1182414221858581","drejtesiaofficial","2017-10-20 22:56:54","33","33","1","9","PDK-AAK-NISMA"
"109871045779576_1183435068423163","drejtesiaofficial","2017-10-22 11:45:37","59","59","1","2","PDK-AAK-NISMA"
"109871045779576_1183475001752503","drejtesiaofficial","2017-10-22 13:10:54","31","31","4","2","PDK-AAK-NISMA"
"109871045779576_1183531008413569","drejtesiaofficial","2017-10-22 14:57:04","10","10","2","1","PDK-AAK-NISMA"
"109871045779576_1183555031744500","drejtesiaofficial","2017-10-22 15:44:27","8","8","0","0","PDK-AAK-NISMA"
"109871045779576_1183622041737799","drejtesiaofficial","2017-10-22 17:22:06","11","11","0","0","PDK-AAK-NISMA"
"109871045779576_1183623975070939","drejtesiaofficial","2017-10-22 17:25:29","13","13","0","1","PDK-AAK-NISMA"
"109871045779576_1190991081000895","drejtesiaofficial","2017-11-01 11:50:01","9","11","0","1","PDK-AAK-NISMA"
"109871045779576_1192442814189055","drejtesiaofficial","2017-11-03 11:06:17","7","7","0","3","PDK-AAK-NISMA"
"156608004843268_277101229460611","AlternativaKosova","2017-09-26 11:22:30","54","54","0","1","LDK-AKR-ALT"
"156608004843268_277277082776359","AlternativaKosova","2017-09-26 22:31:16","324","331","17","16","LDK-AKR-ALT"
"156608004843268_277443492759718","AlternativaKosova","2017-09-27 09:13:05","58","58","1","1","LDK-AKR-ALT"
"156608004843268_277835592720508","AlternativaKosova","2017-09-28 12:48:14","50","50","0","1","LDK-AKR-ALT"
"156608004843268_277961486041252","AlternativaKosova","2017-09-28 19:52:05","18","18","0","0","LDK-AKR-ALT"
"156608004843268_278139606023440","AlternativaKosova","2017-09-29 08:45:11","61","61","0","3","LDK-AKR-ALT"
"156608004843268_278267766010624","AlternativaKosova","2017-09-29 16:41:25","32","32","0","2","LDK-AKR-ALT"
"156608004843268_278298422674225","AlternativaKosova","2017-09-29 19:04:38","302","348","54","32","LDK-AKR-ALT"
"156608004843268_278326926004708","AlternativaKosova","2017-09-29 20:04:55","15","15","0","0","LDK-AKR-ALT"
"156608004843268_278990965938304","AlternativaKosova","2017-10-01 09:58:43","53","53","0","1","LDK-AKR-ALT"
"156608004843268_279380659232668","AlternativaKosova","2017-10-02 09:23:39","42","42","1","1","LDK-AKR-ALT"
"156608004843268_279381055899295","AlternativaKosova","2017-10-02 09:35:49","146","151","0","4","LDK-AKR-ALT"
"156608004843268_279396665897734","AlternativaKosova","2017-10-02 10:45:28","99","99","3","1","LDK-AKR-ALT"
"156608004843268_279518469218887","AlternativaKosova","2017-10-02 17:50:32","46","46","0","0","LDK-AKR-ALT"
"156608004843268_279596679211066","AlternativaKosova","2017-10-02 22:00:57","41","42","0","0","LDK-AKR-ALT"
"156608004843268_279733739197360","AlternativaKosova","2017-10-03 09:31:50","119","119","1","8","LDK-AKR-ALT"
"156608004843268_279737462530321","AlternativaKosova","2017-10-03 09:35:44","48","48","0","2","LDK-AKR-ALT"
"156608004843268_279757085861692","AlternativaKosova","2017-10-03 11:08:58","93","96","0","9","LDK-AKR-ALT"
"156608004843268_279814532522614","AlternativaKosova","2017-10-03 18:04:02","127","127","1","3","LDK-AKR-ALT"
"156608004843268_279852942518773","AlternativaKosova","2017-10-03 16:00:27","39","39","0","1","LDK-AKR-ALT"
"156608004843268_279961169174617","AlternativaKosova","2017-10-03 22:07:02","255","255","6","4","LDK-AKR-ALT"
"156608004843268_279977212506346","AlternativaKosova","2017-10-04 08:45:02","190","190","0","2","LDK-AKR-ALT"
"156608004843268_280099842494083","AlternativaKosova","2017-10-04 09:19:35","60","60","1","1","LDK-AKR-ALT"
"156608004843268_280166802487387","AlternativaKosova","2017-10-04 13:16:34","94","94","1","3","LDK-AKR-ALT"
"156608004843268_280192245818176","AlternativaKosova","2017-10-04 14:52:29","163","165","3","0","LDK-AKR-ALT"
"156608004843268_280496132454454","AlternativaKosova","2017-10-05 09:19:40","52","52","0","1","LDK-AKR-ALT"
"156608004843268_280606292443438","AlternativaKosova","2017-10-05 15:06:19","69","69","0","3","LDK-AKR-ALT"
"156608004843268_280753949095339","AlternativaKosova","2017-10-06 00:46:22","72","72","0","1","LDK-AKR-ALT"
"156608004843268_280901702413897","AlternativaKosova","2017-10-06 10:21:38","48","48","0","0","LDK-AKR-ALT"
"156608004843268_280909935746407","AlternativaKosova","2017-10-06 11:29:33","78","79","0","1","LDK-AKR-ALT"
"156608004843268_280984785738922","AlternativaKosova","2017-10-06 15:17:50","90","90","0","1","LDK-AKR-ALT"
"156608004843268_281065755730825","AlternativaKosova","2017-10-06 18:18:37","17","17","0","0","LDK-AKR-ALT"
"156608004843268_281192125718188","AlternativaKosova","2017-10-07 09:20:02","40","40","0","1","LDK-AKR-ALT"
