"postiid","partianame","kohapostimit","nrlike","nrReaction","nrkomenteve","nrshare"
"106927054069_10155616810094070","Ibcmitrovica","2017-09-29 15:05:59","12","12","0","3"
"106927054069_10155629783319070","Ibcmitrovica","2017-10-04 16:36:45","33","33","0","0"
"106927054069_10155632170204070","Ibcmitrovica","2017-10-05 14:51:54","18","18","0","3"
"106927054069_10155632601934070","Ibcmitrovica","2017-10-05 18:03:48","13","13","0","2"
"106927054069_10155642899899070","Ibcmitrovica","2017-10-09 15:30:49","24","24","0","0"
"106927054069_10155645501204070","Ibcmitrovica","2017-10-10 16:11:29","28","30","0","1"
"106927054069_10155652541224070","Ibcmitrovica","2017-10-13 11:08:54","13","13","0","0"
"106927054069_10155652878609070","Ibcmitrovica","2017-10-13 15:14:52","6","6","0","0"
"106927054069_10155684104399070","Ibcmitrovica","2017-10-25 16:23:21","15","15","0","2"
"106927054069_10155686655844070","Ibcmitrovica","2017-10-26 16:17:56","17","17","0","0"
"106927054069_10155699801629070","Ibcmitrovica","2017-10-31 11:06:49","18","18","0","1"
"106927054069_10155700101184070","Ibcmitrovica","2017-10-31 13:59:48","49","52","1","6"
"106927054069_10155705765659070","Ibcmitrovica","2017-11-02 15:53:05","20","21","0","1"
"106927054069_141861093206257","Ibcmitrovica","2017-11-06 12:40:18","1","1","0","0"
"106927054069_683778305157659","Ibcmitrovica","2017-10-03 17:20:26","14","14","0","0"
"106927054069_967216106749580","Ibcmitrovica","2017-10-23 16:10:41","5","5","0","0"
"118541198177388_1649946921703467","kugjilani","2017-09-26 20:44:25","62","62","0","0"
"118541198177388_1651261171572042","kugjilani","2017-09-28 11:11:56","34","34","0","13"
"118541198177388_1671475829550576","kugjilani","2017-10-18 13:53:02","19","19","0","0"
"118541198177388_1679223022109190","kugjilani","2017-10-25 13:35:57","8","8","0","0"
"118541198177388_1680326125332213","kugjilani","2017-10-26 12:19:01","0","0","0","0"
"118541198177388_1680408155324010","kugjilani","2017-10-26 14:03:04","4","4","1","1"
"118541198177388_1685197201511772","kugjilani","2017-10-30 19:18:10","17","17","0","1"
"118541198177388_1685820271449465","kugjilani","2017-10-31 10:43:40","11","11","0","0"
"118541198177388_1685829508115208","kugjilani","2017-10-31 10:58:11","7","7","0","0"
"118541198177388_1687266597971499","kugjilani","2017-11-01 11:48:49","4","4","0","1"
"118541198177388_1689380177760141","kugjilani","2017-11-03 12:34:40","6","6","0","0"
"118541198177388_1690628957635263","kugjilani","2017-11-04 15:18:14","4","4","0","0"
"1533276790264327_1956652061260129","akademia.evolucion","2017-10-03 15:30:08","13","13","4","0"
"1533276790264327_1967984883460180","akademia.evolucion","2017-10-30 18:46:55","42","42","2","2"
"1533276790264327_1967986213460047","akademia.evolucion","2017-10-30 18:52:20","21","21","0","2"
"1533276790264327_1969457766646225","akademia.evolucion","2017-11-03 09:58:55","18","18","0","1"
"1533276790264327_1970743119851023","akademia.evolucion","2017-11-06 13:21:14","7","7","1","0"
"1533276790264327_1970743973184271","akademia.evolucion","2017-11-06 13:24:52","1","1","0","0"
"1533276790264327_1970744323184236","akademia.evolucion","2017-11-06 13:26:27","0","0","0","0"
"153583318026281_1606510099400255","UniversitetiUBT","2017-09-26 10:08:58","77","82","8","10"
